"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Publisher","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Gallutia D.; Tahmasbi Fard M.; Gutierrez Soto M.; He J.","Gallutia, Daniel (57563629900); Tahmasbi Fard, Majid (57202054434); Gutierrez Soto, Mariantonieta (56301456200); He, JiangBiao (35210280300)","57563629900; 57202054434; 56301456200; 35210280300","Recent advances in wave energy conversion systems: From wave theory to devices and control strategies","2022","Ocean Engineering","252","","111105","","","","24","10.1016/j.oceaneng.2022.111105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127698948&doi=10.1016%2fj.oceaneng.2022.111105&partnerID=40&md5=b497f257ceca1d643124b76ad0ffb071","Department of Civil Engineering, University of Kentucky, United States; Department of Electrical and Computer Engineering, University of Kentucky, United States; School of Engineering Design and Innovation, The Pennsylvania State University, University Park, 16802, PA, United States","Gallutia D., Department of Civil Engineering, University of Kentucky, United States; Tahmasbi Fard M., Department of Electrical and Computer Engineering, University of Kentucky, United States; Gutierrez Soto M., School of Engineering Design and Innovation, The Pennsylvania State University, University Park, 16802, PA, United States; He J., Department of Electrical and Computer Engineering, University of Kentucky, United States","M. Gutierrez Soto; School of Engineering Design and Innovation, The Pennsylvania State University, University Park, 16802, United States; email: mvg5899@psu.edu","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85127698948"
"Zhao X.; Du X.; Li M.; Göteman M.","Zhao, Xuanlie (57188976802); Du, Xin (57225884720); Li, Mingwei (57148905700); Göteman, Malin (36645791600)","57188976802; 57225884720; 57148905700; 36645791600","Semi-analytical study on the hydrodynamic performance of an interconnected floating breakwater-WEC system in presence of the seawall","2021","Applied Ocean Research","109","","102555","","","","30","10.1016/j.apor.2021.102555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100718886&doi=10.1016%2fj.apor.2021.102555&partnerID=40&md5=7eaa8c9b14463ef962a6afbb3927da5a","College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Department of Engineering Sciences, Uppsala University, Uppsala, 75121, Sweden","Zhao X., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Du X., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Li M., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Göteman M., Department of Engineering Sciences, Uppsala University, Uppsala, 75121, Sweden","M. Li; College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; email: limingwei@hrbeu.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85100718886"
"Zhang H.; Zhou B.; Zang J.; Vogel C.; Fan T.; Chen C.","Zhang, Hengming (57204526759); Zhou, Binzhen (7401906874); Zang, Jun (13805368200); Vogel, Christopher (56992335500); Fan, Tianhui (55356262500); Chen, Chaohe (55002669600)","57204526759; 7401906874; 13805368200; 56992335500; 55356262500; 55002669600","Effects of narrow gap wave resonance on a dual-floater WEC-breakwater hybrid system","2021","Ocean Engineering","225","","108762","","","","23","10.1016/j.oceaneng.2021.108762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102536129&doi=10.1016%2fj.oceaneng.2021.108762&partnerID=40&md5=5d571b3546b19443e9bc94aae88a8f73","College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, 510641, China; Department of Architecture and Civil Engineering, University of Bath, Bath, BA2 7AY, United Kingdom; Department of Engineering Science, University of Oxford, Oxford, OX1 3PJ, United Kingdom","Zhang H., College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Zhou B., School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, 510641, China; Zang J., Department of Architecture and Civil Engineering, University of Bath, Bath, BA2 7AY, United Kingdom; Vogel C., Department of Engineering Science, University of Oxford, Oxford, OX1 3PJ, United Kingdom; Fan T., School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, 510641, China; Chen C., School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, 510641, China","B. Zhou; School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, 510641, China; email: zhoubinzhen@scut.edu.cn; J. Zang; Department of Architecture and Civil Engineering, University of Bath, Bath, BA2 7AY, United Kingdom; email: J.Zang@bath.ac.uk","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85102536129"
"Majidi A.G.; Bingölbali B.; Akpınar A.; Rusu E.","Majidi, Ajab Gul (57221255566); Bingölbali, Bilal (57189584264); Akpınar, Adem (58356740800); Rusu, Eugen (24450974700)","57221255566; 57189584264; 58356740800; 24450974700","Wave power performance of wave energy converters at high-energy areas of a semi-enclosed sea","2021","Energy","220","","119705","","","","22","10.1016/j.energy.2020.119705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098653822&doi=10.1016%2fj.energy.2020.119705&partnerID=40&md5=20c92e3e890bd485d81f9811d8082488","Bursa Uludağ University, Department of Civil Engineering, Görükle Campus, Bursa, Turkey; Universitatea Dunarea de Jos Galati, Department of Mechanical Engineering, Galati, Romania","Majidi A.G., Bursa Uludağ University, Department of Civil Engineering, Görükle Campus, Bursa, Turkey; Bingölbali B., Bursa Uludağ University, Department of Civil Engineering, Görükle Campus, Bursa, Turkey; Akpınar A., Bursa Uludağ University, Department of Civil Engineering, Görükle Campus, Bursa, Turkey; Rusu E., Universitatea Dunarea de Jos Galati, Department of Mechanical Engineering, Galati, Romania","A. Akpınar; Bursa Uludağ University, Department of Civil Engineering, Görükle Campus, Bursa, Turkey; email: ademakpinar@uludag.edu.tr","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85098653822"
"Ding B.; Sergiienko N.; Meng F.; Cazzolato B.; Hardy P.; Arjomandi M.","Ding, Boyin (54948633800); Sergiienko, Nataliia (57133039900); Meng, Fantai (57202589321); Cazzolato, Benjamin (6603538173); Hardy, Peter (57189713077); Arjomandi, Maziar (24597414300)","54948633800; 57133039900; 57202589321; 6603538173; 57189713077; 24597414300","The application of modal analysis to the design of multi-mode point absorber wave energy converters","2019","Ocean Engineering","171","","","603","618","15","18","10.1016/j.oceaneng.2018.11.058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058619127&doi=10.1016%2fj.oceaneng.2018.11.058&partnerID=40&md5=12fd581b6c4c025e6ebc39719efbcc63","Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia","Ding B., Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia; Sergiienko N., Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia; Meng F., Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia; Cazzolato B., Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia; Hardy P., Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia; Arjomandi M., Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia","B. Ding; Ocean Wave Energy Research Group, School of Mechanical Engineering, The University of Adelaide, Adelaide, 5005, Australia; email: boyin.ding@adelaide.edu.au","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85058619127"
"Katsidoniotaki E.; Göteman M.","Katsidoniotaki, Eirini (57216490050); Göteman, Malin (36645791600)","57216490050; 36645791600","Numerical modeling of extreme wave interaction with point-absorber using OpenFOAM","2022","Ocean Engineering","245","","110268","","","","16","10.1016/j.oceaneng.2021.110268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122636294&doi=10.1016%2fj.oceaneng.2021.110268&partnerID=40&md5=4e88278dd84ba4a4719e803bf8bdfffc","Department of Electrical Engineering, Uppsala University, Lägerhyddsvägen 1, Uppsala, SE-752 37, Sweden","Katsidoniotaki E., Department of Electrical Engineering, Uppsala University, Lägerhyddsvägen 1, Uppsala, SE-752 37, Sweden; Göteman M., Department of Electrical Engineering, Uppsala University, Lägerhyddsvägen 1, Uppsala, SE-752 37, Sweden","E. Katsidoniotaki; Department of Electrical Engineering, Uppsala University, Uppsala, Lägerhyddsvägen 1, SE-752 37, Sweden; email: eirini.katsidoniotaki@angstrom.uu.se","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85122636294"
"Calvário M.; Gaspar J.F.; Kamarlouei M.; Hallak T.S.; Guedes Soares C.","Calvário, M. (56901429300); Gaspar, J.F. (56844877700); Kamarlouei, M. (56486068700); Hallak, T.S. (57204389851); Guedes Soares, C. (56978160800)","56901429300; 56844877700; 56486068700; 57204389851; 56978160800","Oil-hydraulic power take-off concept for an oscillating wave surge converter","2020","Renewable Energy","159","","","1297","1309","12","20","10.1016/j.renene.2020.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088982225&doi=10.1016%2fj.renene.2020.06.002&partnerID=40&md5=7ceaca9023cfd666d7a75d88a55a7fcc","Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal","Calvário M., Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal; Gaspar J.F., Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal; Kamarlouei M., Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal; Hallak T.S., Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal; Guedes Soares C., Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal","C. Guedes Soares; Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1049-001, Portugal; email: c.guedes.soares@centec.tecnico.ulisboa.pt","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85088982225"
"Bubbar K.; Buckham B.","Bubbar, K. (56912426100); Buckham, B. (6602528861)","56912426100; 6602528861","On establishing generalized analytical phase control conditions in two body self-reacting point absorber wave energy converters","2020","Ocean Engineering","197","","106879","","","","17","10.1016/j.oceaneng.2019.106879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077451155&doi=10.1016%2fj.oceaneng.2019.106879&partnerID=40&md5=3be4036439946ec8afbc1d2e0e23b282","Department of Electrical & Computer Engineering, Emera & NB Power Research Centre for Smart Grid Technologies, University of New Brunswick, 3 Bailey Dr, Fredericton, E3B 5A3, New Brunswick, Canada; Department of Mechanical Engineering, West Coast Wave Initiative, Institute for Integrated Energy Systems, University of Victoria, 3800 Finnerty Rd, Victoria, B.C. V8W 3P6, Canada","Bubbar K., Department of Electrical & Computer Engineering, Emera & NB Power Research Centre for Smart Grid Technologies, University of New Brunswick, 3 Bailey Dr, Fredericton, E3B 5A3, New Brunswick, Canada; Buckham B., Department of Mechanical Engineering, West Coast Wave Initiative, Institute for Integrated Energy Systems, University of Victoria, 3800 Finnerty Rd, Victoria, B.C. V8W 3P6, Canada","K. Bubbar; Department of Electrical & Computer Engineering, Emera & NB Power Research Centre for Smart Grid Technologies, University of New Brunswick, Fredericton, 3 Bailey Dr, E3B 5A3, Canada; email: kush.bubbar@unb.ca","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85077451155"
"Mahdy A.; Hasanien H.M.; Helmy W.; Turky R.A.; Abdel Aleem S.H.E.","Mahdy, Ahmed (57438929800); Hasanien, Hany M. (34978417100); Helmy, Waleed (24780336900); Turky, Rania A. (57220092116); Abdel Aleem, Shady H.E. (35995314900)","57438929800; 34978417100; 24780336900; 57220092116; 35995314900","Transient stability improvement of wave energy conversion systems connected to power grid using anti-windup-coot optimization strategy","2022","Energy","245","","123321","","","","18","10.1016/j.energy.2022.123321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124033567&doi=10.1016%2fj.energy.2022.123321&partnerID=40&md5=acd43bb37ee470ae4d50dc37739dc175","Electrical Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, 11517, Egypt; Electrical Engineering Department, Faculty of Engineering and Technology, Future University in Egypt, Cairo, 11835, Egypt; Electrical Engineering Department, Valley Higher Institute of Engineering and Technology, Science Valley Academy, Qalyubia, Egypt","Mahdy A., Electrical Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, 11517, Egypt; Hasanien H.M., Electrical Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, 11517, Egypt; Helmy W., Electrical Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, 11517, Egypt; Turky R.A., Electrical Engineering Department, Faculty of Engineering and Technology, Future University in Egypt, Cairo, 11835, Egypt; Abdel Aleem S.H.E., Electrical Engineering Department, Valley Higher Institute of Engineering and Technology, Science Valley Academy, Qalyubia, Egypt","H.M. Hasanien; Electrical Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, 11517, Egypt; email: hanyhasanien@ieee.org","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85124033567"
"Canard M.; Ducrozet G.; Bouscasse B.","Canard, Maxime (57221531215); Ducrozet, Guillaume (56017707600); Bouscasse, Benjamin (35365923200)","57221531215; 56017707600; 35365923200","Varying ocean wave statistics emerging from a single energy spectrum in an experimental wave tank","2022","Ocean Engineering","246","","110375","","","","18","10.1016/j.oceaneng.2021.110375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122997588&doi=10.1016%2fj.oceaneng.2021.110375&partnerID=40&md5=74747b6a32765dbd04192dd9fe107bb5","Ecole Centrale Nantes, LHEEA Laboratory (ECN and CNRS), 1 rue de la Noë, Nantes, 44000, France","Canard M., Ecole Centrale Nantes, LHEEA Laboratory (ECN and CNRS), 1 rue de la Noë, Nantes, 44000, France; Ducrozet G., Ecole Centrale Nantes, LHEEA Laboratory (ECN and CNRS), 1 rue de la Noë, Nantes, 44000, France; Bouscasse B., Ecole Centrale Nantes, LHEEA Laboratory (ECN and CNRS), 1 rue de la Noë, Nantes, 44000, France","M. Canard; Ecole Centrale Nantes, LHEEA Laboratory (ECN and CNRS), Nantes, 1 rue de la Noë, 44000, France; email: maxime.canard@ec-nantes.fr","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85122997588"
"Li J.; Pan S.; Chen Y.; Yao Y.; Xu C.","Li, Jiangxia (57095498600); Pan, Shunqi (57883874800); Chen, Yongping (57216366993); Yao, Yu (56595903800); Xu, Conghao (57161369800)","57095498600; 57883874800; 57216366993; 56595903800; 57161369800","Assessment of combined wind and wave energy in the tropical cyclone affected region:An application in China seas","2022","Energy","260","","125020","","","","17","10.1016/j.energy.2022.125020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136473829&doi=10.1016%2fj.energy.2022.125020&partnerID=40&md5=12011f2ac98eb73a9ce5d1d4284a42f9","School of Hydraulic and Environmental Engineering, Changsha University of Science and Technology, Changsha, 410114, China; Key Laboratory of Water-Sediment Sciences and Water Disaster Prevention of Hunan Province, Changsha, 410114, China; Hydro-environmental Research Centre, School of Engineering, Cardiff University, Cardiff, CF24 3AA, United Kingdom; State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering, Hohai University, Nanjing, 210098, China; College of Harbour, Coastal and Offshore Engineering, Hohai University, Nanjing, 210098, China","Li J., School of Hydraulic and Environmental Engineering, Changsha University of Science and Technology, Changsha, 410114, China, Key Laboratory of Water-Sediment Sciences and Water Disaster Prevention of Hunan Province, Changsha, 410114, China; Pan S., Hydro-environmental Research Centre, School of Engineering, Cardiff University, Cardiff, CF24 3AA, United Kingdom; Chen Y., State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering, Hohai University, Nanjing, 210098, China, College of Harbour, Coastal and Offshore Engineering, Hohai University, Nanjing, 210098, China; Yao Y., School of Hydraulic and Environmental Engineering, Changsha University of Science and Technology, Changsha, 410114, China, Key Laboratory of Water-Sediment Sciences and Water Disaster Prevention of Hunan Province, Changsha, 410114, China; Xu C., School of Hydraulic and Environmental Engineering, Changsha University of Science and Technology, Changsha, 410114, China, Key Laboratory of Water-Sediment Sciences and Water Disaster Prevention of Hunan Province, Changsha, 410114, China","Y. Yao; School of Hydraulic and Environmental Engineering, Changsha University of Science and Technology, Changsha, 410114, China; email: yaoyu821101@163.com","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85136473829"
"Hillis A.J.; Yardley J.; Plummer A.R.; Brask A.","Hillis, A.J. (8520718000); Yardley, J. (57217538985); Plummer, A.R. (8251308600); Brask, A. (57217534203)","8520718000; 57217538985; 8251308600; 57217534203","Model predictive control of a multi-degree-of-freedom wave energy converter with model mismatch and prediction errors","2020","Ocean Engineering","212","","107724","","","","19","10.1016/j.oceaneng.2020.107724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087365955&doi=10.1016%2fj.oceaneng.2020.107724&partnerID=40&md5=796608942883e0dfbb4ef0d17d59e4fb","University of Bath, Department of Mechanical Engineering, Bath, BA27AY, United Kingdom; Marine Power Systems Ltd, Ethos Building, Kings Road, Swansea, SA1 8AS, United Kingdom","Hillis A.J., University of Bath, Department of Mechanical Engineering, Bath, BA27AY, United Kingdom; Yardley J., University of Bath, Department of Mechanical Engineering, Bath, BA27AY, United Kingdom; Plummer A.R., University of Bath, Department of Mechanical Engineering, Bath, BA27AY, United Kingdom; Brask A., Marine Power Systems Ltd, Ethos Building, Kings Road, Swansea, SA1 8AS, United Kingdom","A.J. Hillis; University of Bath, Department of Mechanical Engineering, Bath, BA27AY, United Kingdom; email: a.j.hillis@bath.ac.uk","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85087365955"
"Lv Z.; Wang N.; Lou R.; Tian Y.; Guizani M.","Lv, Zhihan (55925162500); Wang, Nana (57471796600); Lou, Ranran (57218823583); Tian, Yajun (7402840435); Guizani, Mohsen (7004750176)","55925162500; 57471796600; 57218823583; 7402840435; 7004750176","Towards carbon Neutrality: Prediction of wave energy based on improved GRU in Maritime transportation","2023","Applied Energy","331","","120394","","","","20","10.1016/j.apenergy.2022.120394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142910485&doi=10.1016%2fj.apenergy.2022.120394&partnerID=40&md5=b1ef631fe1a291897f885fbf62bcb8ec","Extended Energy Big Data and Strategy Research Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China; Department of Game Design, Faculty of Arts, Uppsala University, Uppsala, 75375, Sweden; State Key Laboratory of Media Convergence Production Technology and Systems, Beijing, 100803, China; Shandong Energy Institute, Qingdao, 266101, China; Qingdao New Energy Shandong Laboratory, Qingdao, 266101, China; College of Computer Science and Technology, Qingdao University, Qingdao, 266071, China; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, United Arab Emirates","Lv Z., Extended Energy Big Data and Strategy Research Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China, Department of Game Design, Faculty of Arts, Uppsala University, Uppsala, 75375, Sweden, State Key Laboratory of Media Convergence Production Technology and Systems, Beijing, 100803, China; Wang N., Extended Energy Big Data and Strategy Research Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China, Shandong Energy Institute, Qingdao, 266101, China, Qingdao New Energy Shandong Laboratory, Qingdao, 266101, China; Lou R., College of Computer Science and Technology, Qingdao University, Qingdao, 266071, China; Tian Y., Extended Energy Big Data and Strategy Research Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China, Shandong Energy Institute, Qingdao, 266101, China, Qingdao New Energy Shandong Laboratory, Qingdao, 266101, China; Guizani M., Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, United Arab Emirates","Z. Lv; Extended Energy Big Data and Strategy Research Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China; email: lvzhihan@gmail.com","Elsevier Ltd","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85142910485"
"Jin S.; Zheng S.; Greaves D.","Jin, Siya (57195493070); Zheng, Siming (55553935700); Greaves, Deborah (7102627638)","57195493070; 55553935700; 7102627638","On the scalability of wave energy converters","2022","Ocean Engineering","243","","110212","","","","18","10.1016/j.oceaneng.2021.110212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119404366&doi=10.1016%2fj.oceaneng.2021.110212&partnerID=40&md5=ee7c5870cdb4729122e8676ddcc7eafb","School of Engineering, Computing and Mathematics, Faculty of Science and Engineering, University of Plymouth, PL4 8AA, United Kingdom","Jin S., School of Engineering, Computing and Mathematics, Faculty of Science and Engineering, University of Plymouth, PL4 8AA, United Kingdom; Zheng S., School of Engineering, Computing and Mathematics, Faculty of Science and Engineering, University of Plymouth, PL4 8AA, United Kingdom; Greaves D., School of Engineering, Computing and Mathematics, Faculty of Science and Engineering, University of Plymouth, PL4 8AA, United Kingdom","S. Jin; School of Engineering, Computing and Mathematics, Faculty of Science and Engineering, University of Plymouth, PL4 8AA, United Kingdom; email: siya_jin@126.com","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85119404366"
"Ribeiro A.S.; DeCastro M.; Rusu L.; Bernardino M.; Dias J.M.; Gomez-Gesteira M.","Ribeiro, Amx000E9;rico S. (57191167295); DeCastro, Maite (7003718194); Rusu, Liliana (24067330300); Bernardino, Mariana (36607402300); Dias, Jox000E3;o M. (55947194400); Gomez-Gesteira, Moncho (7003669251)","57191167295; 7003718194; 24067330300; 36607402300; 55947194400; 7003669251","Evaluating the future efficiency ofwave energy converters along the nw coast of the iberian peninsula","2020","Energies","13","14","3563","","","","21","10.3390/en13143563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089968254&doi=10.3390%2fen13143563&partnerID=40&md5=69bb9ec2871fa88b490179cb8231a27b","CESAM, Physics Department, University of Aveiro, Aveiro, 3810-193, Portugal; Environmental Physics Laboratory (EphysLab), CIM-UVIGO, University of Vigo, Campus da Auga building, Ourense, 32004, Spain; Department of Mechanical Engineering, Faculty of Engineering, Dunarea de Jos University of Galati, 47 Domneasca Street, Galati, 800 201, Romania; Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Tx000E9;cnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal","Ribeiro A.S., CESAM, Physics Department, University of Aveiro, Aveiro, 3810-193, Portugal; DeCastro M., Environmental Physics Laboratory (EphysLab), CIM-UVIGO, University of Vigo, Campus da Auga building, Ourense, 32004, Spain; Rusu L., Department of Mechanical Engineering, Faculty of Engineering, Dunarea de Jos University of Galati, 47 Domneasca Street, Galati, 800 201, Romania; Bernardino M., Centre for Marine Technology and Ocean Engineering (CENTEC), Instituto Superior Tx000E9;cnico, Universidade de Lisboa, Lisbon, 1049-001, Portugal; Dias J.M., CESAM, Physics Department, University of Aveiro, Aveiro, 3810-193, Portugal; Gomez-Gesteira M., Environmental Physics Laboratory (EphysLab), CIM-UVIGO, University of Vigo, Campus da Auga building, Ourense, 32004, Spain","A.S. Ribeiro; CESAM, Physics Department, University of Aveiro, Aveiro, 3810-193, Portugal; email: americosribeiro@ua.pt","MDPI AG","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85089968254"
"Cai W.; Roussinova V.; Stoilov V.","Cai, Wenzheng (57816109900); Roussinova, Vesselina (6506919636); Stoilov, Vesselin (7801674877)","57816109900; 6506919636; 7801674877","Piezoelectric wave energy harvester","2022","Renewable Energy","196","","","973","982","9","16","10.1016/j.renene.2022.07.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134783226&doi=10.1016%2fj.renene.2022.07.051&partnerID=40&md5=8d855d9af7cb328cce269f028b8cfdf3","Department of Mechanical, Automotive and Materials Engineering, University of Windsor, Windsor, N9B 3P4, ON, Canada","Cai W., Department of Mechanical, Automotive and Materials Engineering, University of Windsor, Windsor, N9B 3P4, ON, Canada; Roussinova V., Department of Mechanical, Automotive and Materials Engineering, University of Windsor, Windsor, N9B 3P4, ON, Canada; Stoilov V., Department of Mechanical, Automotive and Materials Engineering, University of Windsor, Windsor, N9B 3P4, ON, Canada","V. Stoilov; Department of Mechanical, Automotive and Materials Engineering, University of Windsor, Windsor, N9B 3P4, Canada; email: vstoilov@uwindsor.ca","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85134783226"
"Re C.L.; Manno G.; Ciraolo G.; Besio G.","Re, Carlo Lo (57205642826); Manno, Giorgio (36730200400); Ciraolo, Giuseppe (14022260300); Besio, Giovanni (9844111300)","57205642826; 36730200400; 14022260300; 9844111300","Wave energy assessment around the Aegadian Islands (Sicily)","2019","Energies","12","3","333","","","","19","10.3390/en12030333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060954946&doi=10.3390%2fen12030333&partnerID=40&md5=86a4f242f1488dd51da79fa2aabf307f","Department of Civil, Environmental, Aerospace, Materials Engineering (DICAM), University of Palermo, Viale delle Scienze, Bd. 8, Palermo, 90128, Italy; Department of Civil, Chemical and Environmental Engineering (DICCA), University of Genoa, Via Montallegro, 1, Genova, 16145, Italy","Re C.L., Department of Civil, Environmental, Aerospace, Materials Engineering (DICAM), University of Palermo, Viale delle Scienze, Bd. 8, Palermo, 90128, Italy; Manno G., Department of Civil, Environmental, Aerospace, Materials Engineering (DICAM), University of Palermo, Viale delle Scienze, Bd. 8, Palermo, 90128, Italy; Ciraolo G., Department of Civil, Environmental, Aerospace, Materials Engineering (DICAM), University of Palermo, Viale delle Scienze, Bd. 8, Palermo, 90128, Italy; Besio G., Department of Civil, Chemical and Environmental Engineering (DICCA), University of Genoa, Via Montallegro, 1, Genova, 16145, Italy","C.L. Re; Department of Civil, Environmental, Aerospace, Materials Engineering (DICAM), University of Palermo, Palermo, Viale delle Scienze, Bd. 8, 90128, Italy; email: carlo.lore@unipa.it","MDPI AG","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85060954946"
